品種名,母,父,不明親,登録年,登録者,メモ,出典
ファーストベリー,アイベリー実生系統,とよのか,,1993,"太田宣明, 太田充(岡山県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3698&LANGUAGE=Japanese
ベニヒバリ,アメリカ,宝交早生,,1995,東洋製罐株式会社 (東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4474&LANGUAGE=Japanese
ベルマーレ,不明,とよのか,,1996,株式会社トーホク(栃木県),母本は輸入果実より採取した種子から育成した系統とのこと,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5197&LANGUAGE=Japanese
ベルルージュ,77_36,盛岡19号,,,,"別名: 農林17号, 盛岡23号(https://agriknowledge.affrc.go.jp/RN/4010001322)",
ペチカ,大石四季成2号,サマーベリー,,1995,株式会社ホーブ(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4293&LANGUAGE=Japanese
マートンダム,不明,不明,,,,情報を募集しています。,Merton Dawnという品種が存在するようであるが、これと同一であるかは不明。
ミランシエ,不明,あかねっ娘,,2001,藤江充(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8841&LANGUAGE=Japanese
リンダモール,アイベリー,宝交早生,,1990,愛知県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2280&LANGUAGE=Japanese
リンダモール×Cruz,リンダモール,Cruz,,,,,
リンダモール×とよのか,リンダモール,とよのか,,,,,
ルージューテーエム,Pajaro実生後代系統,静岡4号,,1997,鳥井満弘(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5726&LANGUAGE=Japanese
レッドパール,アイベリー,とよのか,,1993,西田朝美(愛媛県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3755&LANGUAGE=Japanese
三木2号,さちのか,とちおとめ,,,,,
三重母本1号,かおり野,かおり野,,2016,三重県,かおり野の4回自殖系統,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25518&LANGUAGE=Japanese
久留米(61_106_2),The sun(ザサン),宮崎,,,,,
久留米103号,久留米(61_106_2),福羽,,,,,
久留米34号,八千代,Donner(ダナー),,,,,
久留米47号,不明,不明,,,,情報を募集しています。,
久留米49号,とよのか,女峰,,,,,
久留米53号,とよのか,てるのか,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12573&LANGUAGE=Japanese
久留米54号,不明,不明,,,,情報を募集しています。,
久留米55号,不明,不明,,,,情報を募集しています。,
久留米IH4号,いちご中間母本農1号,redruby,,2005,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=13535&LANGUAGE=Japanese
久留米促成3号,不明,不明,,,,情報を募集しています。,
久留米促成3号×宝交早生,久留米促成3号,宝交早生,,,,,
久能早生,旭宝,麗紅,,1983,萩原章弘(静岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=457&LANGUAGE=Japanese
伊予姫,とちおとめ,章姫×女峰,,2002,日泉化学株式会社(愛媛県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=9653&LANGUAGE=Japanese
佐系14号,99_26_7,99_5_3,,,,,
佐系8号,さがほのか,5_2,,,,,
佐賀i5号,あまおとめ,紅ほっぺ,,2018,佐賀県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26986&LANGUAGE=Japanese
佐賀i9号(いちごさん),佐系14号,やよいひめ,,2018,佐賀県,商標名: いちごさん,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26987&LANGUAGE=Japanese
促成2号,宮崎,The sun(ザサン),,,,別称に久留米103号,
促成_50号,久留米促成3号,宝交早生,,,,,
光小布ヶ谷,とよのか,女峰,,1997,片井勝(静岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5789&LANGUAGE=Japanese
八千代,アメリカ,Lassen,,,,別称: 久留米28号(https://catalog.lib.kyushu-u.ac.jp/opac_detail_md/?lang=0&amode=MD100000&bibid=22920)。,
八雲,不明,不明,,,,情報を募集しています。幸玉とも呼称される(https://catalog.lib.kyushu-u.ac.jp/opac_detail_md/?lang=0&amode=MD100000&bibid=8623)。,
兵庫I_3号(あまクイーン),とちおとめ,さがほのか,,2017,兵庫県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25609&LANGUAGE=Japanese
兵庫I_4号(紅クイーン),さちのか,とちおとめ,,2017,兵庫県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25610&LANGUAGE=Japanese
円雷,Donner(ダナー),Selva実生系統,,1988,市川清・藤重宣昭(栃木県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1743&LANGUAGE=Japanese
北の輝,ベルルージュ,Pajaro,,2000,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=7649&LANGUAGE=Japanese
北の輝×Chandler,北の輝,Chandler,,,,,
千代田,アメリカ,Midland,,,,"別名: 久留米20号, 農林8号",
千葉S4号(チーバベリー),02_19,とちおとめ,,2015,千葉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=24428&LANGUAGE=Japanese
千鶴,Donner(ダナー),はるのか,,1986,石橋光治(千葉県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=962&LANGUAGE=Japanese
古都華,7_3_1,紅ほっぺ,,2011,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=21164&LANGUAGE=Japanese
和C19,さがほのか,紅ほっぺ,,2011,和歌山県,和C19ではなくC19という記述も見られる。,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=21162&LANGUAGE=Japanese
和田初こい(初恋の香り),不明,不明,,2009,三好アグリテック株式会社(山梨県),商標名: 初恋の香り,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=18011&LANGUAGE=Japanese
和田初こい実生系統,和田初こい(初恋の香り),和田初こい(初恋の香り),,,,自殖系統,
埼園い1号(かおりん),ふくあや香,ゆめのか,,2019,埼玉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=27265&LANGUAGE=Japanese
埼園い3号(あまりん),やよいひめ,ふくはる香,,2019,埼玉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=27266&LANGUAGE=Japanese
堅しろう,10133_03,とっておき,,,,品種登録出願中（2025年12月29日現在）,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM111.aspx?SHUTSUGAN_NO=37324&LANGUAGE=Japanese
夏のしずく,みやざきなつはるか,06sAB_4e,,2024,国立研究開発法人農業・食品産業技術総合研究機構・岩手県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30607&LANGUAGE=Japanese
夏の輝,盛岡30号,スイートチャーミー,,2015,国立研究開発法人農業・食品産業技術総合研究機構?,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=24328&LANGUAGE=Japanese
夏芳,紅滝実生系統,Aiko実生系統,,1986,芳岡昭夫(奈良県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=942&LANGUAGE=Japanese
夢つづき,不明,カレンベリー,,2018,"国立研究開発法人農業・食品産業技術総合研究機構, アヲハタ株式会社(広島県)",母本は「はつくに」「てるのか」「とちおとめ」「さがほのか」から育成した多元交配系統とのこと,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26985&LANGUAGE=Japanese
夢甘香,明宝×（宝交早生×麗紅）,アイベリー,,2002,兵庫県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=9921&LANGUAGE=Japanese
大分3号,さがほのか,とちおとめ,,,,,
大分6号(ベリーツ),大分3号,かおり野,,2021,大分県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=28275&LANGUAGE=Japanese
大石四季成,Institute X2,大石四季成1号,,,,,
大石四季成1号,Crimson Monarch,鳳香,,,,,
大石四季成2号,不明,不明,,,,情報を募集しています,
大鈴,Donner(ダナー),はるのか,,1986,石橋光治(千葉県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=963&LANGUAGE=Japanese
大錦,はるのか×ダナー,はるのか,,1990,株式会社みかど育種農場(千葉県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2279&LANGUAGE=Japanese
奈乃香,さちのか,とちおとめ,,2014,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30498&LANGUAGE=Japanese
女峰,系210,麗紅,,1985,栃木県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=716&LANGUAGE=Japanese
女峰×しずたから,女峰,しずたから,,,,,
女峰×サマーベリー,女峰,サマーベリー,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12574&LANGUAGE=Japanese
女峰×ピーストロ,女峰,ピーストロ,,,,,
女峰×秀紅,女峰,秀紅,,,,,
女峰実生系統,女峰,女峰,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3165&LANGUAGE=Japanese
媛育,不明,不明,,,,情報を募集しています。,
宝交早生,八雲,Tahoe(タホー),,,,,
宝交早生×麗紅,宝交早生,麗紅,,,,,
宝交早生選抜系統,不明,不明,,,,宝交早生の自殖の意味か？,
宮崎,不明,不明,,,,情報を募集しています,
宮崎×The sun,宮崎,The sun(ザサン),,,,同じ組み合わせの久留米と同一であるかは不明。ここでは別物として扱った。,
尾瀬はるか,とねほっぺ,北の輝,,2005,群馬県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12575&LANGUAGE=Japanese
山口2号,とよのか×アイベリー,はるのか×女峰,,,,,
山口9号,山口2号,HST,,,,,
山口ST9号,山口2号,HST,,2007,山口,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=15259&LANGUAGE=Japanese
山形S7号,サマーティアラ,なつじろう,,,,品種登録出願中（2025年12月29日現在）,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM111.aspx?SHUTSUGAN_NO=36700&LANGUAGE=Japanese
峰クイーン,スイートチャーミー,池光,,2004,阿波みよし農業協同組合(徳島県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12197&LANGUAGE=Japanese
島系22-111,紅ほっぺ,アスカルビー,,2013,島根県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=22818&LANGUAGE=Japanese
島系22-148,紅ほっぺ,アスカルビー,,2013,島根県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=22819&LANGUAGE=Japanese
彩6号(べにたま),埼園い1号(かおりん),かおり野,,2025,埼玉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=31022&LANGUAGE=Japanese
彩のかおり,アイベリー,アイベリー,,1996,埼玉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5194&LANGUAGE=Japanese
徳系2号,みよし,kurume48go,,,,,
徳系2号×サマーベリー,徳系2号,サマーベリー,,,,,
徳系2号×サマーベリー実生系統,徳系2号×サマーベリー,徳系2号×サマーベリー,,,,,
徳系5,みよし×久留米48号,みよし実生系統,,,,,
恋みのり,03042_08,熊研い548(ひのしずく),,2020,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=28183&LANGUAGE=Japanese
愛媛農試V1号,T6,T16,,1993,愛媛県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3756&LANGUAGE=Japanese
愛経4号,系統13_18,系統12_21,,2024,"愛知県経済農業協同組合連合会, 愛知県",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30500&LANGUAGE=Japanese
早生吉阡,麗紅,はつくに,,1987,ナント種苗株式会社(奈良県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1268&LANGUAGE=Japanese
旭宝,不明,不明,,,,情報を募集しています。,
明宝,不明,不明,,,,アクセスできず。,
明宝×麗紅,明宝,麗紅,,,,,
明宝×（宝交早生×麗紅）,明宝,宝交早生×麗紅,,,,,
春訪,とよのか,千鶴,,2001,千葉県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8648&LANGUAGE=Japanese
東京おひさまベリー,99_8,01_1_5,,2019,公益財団法人東京都農林水産振興財団 (東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=27386&LANGUAGE=Japanese
栃の峰,系511,女峰,,1993,栃木県?,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3452&LANGUAGE=Japanese
栃木20号,98_28_2,94_2_8,,,,,
栃木21号,不明,不明,,,,情報を募集しています。,
栃木26号,不明,不明,,,,"情報を募集しています。栃の峰, No221, No227, とちおとめを素材に育成されたとのこと(鶴見ら, 2020; https://agriknowledge.affrc.go.jp/RN/2010935163)。",
栃木32号,栃木21号,あまおとめ,,,,,
栃木i27号(スカイベリー),00_24_1,栃木20号,,2014,栃木県,商標名: スカイベリー(https://www.pref.tochigi.lg.jp/g61/hinsyu/tochigii27.html),https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=23749&LANGUAGE=Japanese
栃木i37号(とちあいか),栃木32号,09_48_5,,2024,栃木県,商標名: とちあいか(https://www.pref.tochigi.lg.jp/g61/hinsyu/tochigii37.html),https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30257&LANGUAGE=Japanese
栃木iW1号(ミルキーベリー),和田初こい実生系統,09_52_1,,2024,栃木県,商標名: ミルキーベリー(https://www.pref.tochigi.lg.jp/g61/hinsyu/tochigiiw1.html),https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30256&LANGUAGE=Japanese
栃木素材2号,不明,不明,,,,情報を募集しています。,
池光,不明,不明,,1996,"川人健一, 川人茂, 川人新一(徳島県)",品種名不詳の四季成性品種，アイベリー，みよし，ひのみね,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5195&LANGUAGE=Japanese
滋賀SB2号(みおしずく),かおり野,章姫,,2025,滋賀県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=31334&LANGUAGE=Japanese
濃姫,アイベリー,女峰,,1998,岐阜県?,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=6207&LANGUAGE=Japanese
炭強20,不明,不明,,,,,
熊本VS03(ゆうべに),07_13_1,かおり野,,2017,熊本県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25611&LANGUAGE=Japanese
熊研い548(ひのしずく),98_30,98_20_3,,2006,熊本県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=13882&LANGUAGE=Japanese
王香,Fairfax,Donner(ダナー),,1987,山口照男(東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1394&LANGUAGE=Japanese
珠姫,22_19_1,まりひめ,,2024,奈良県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30495&LANGUAGE=Japanese
盛岡16号,2_8,千代田,,,,,
盛岡19号,Donner(ダナー),Cyclone,,,,,
盛岡20号,不明,不明,,,,情報を募集しています。,
盛岡26号,不明,不明,,,,情報を募集しています。,
盛岡26号×サマーベリー,盛岡26号,サマーベリー,,,,,
盛岡30号,不明,不明,,,,情報を募集しています。,
真紅の美鈴,ふさの香,麗紅,,2015,成川昇 (千葉県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=23452&LANGUAGE=Japanese
砂丘S2号,89_81_69,89_96_61,,,,,
神戸1号,不明,不明,,,,情報を募集しています。,
福岡S6号(あまおう),久留米53号,92_46,,2005,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12572&LANGUAGE=Japanese
福岡S7号,久留米53号,92_46,,2005,,商標名: あまおう,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12573&LANGUAGE=Japanese
福岡エース,はるのか,宝交早生,,1986,福岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1222&LANGUAGE=Japanese
福島1号,章姫,さちのか,,,,,
福島2号,8905_28,Chandler,,,,,
福島ST14号(ゆうやけベリー),かおり野,とちおとめ,,,福島県,品種登録出願中（2025年12月29日現在）,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM111.aspx?SHUTSUGAN_NO=36009&LANGUAGE=Japanese
福羽,General Chanzy,General Chanzy,,,,自殖系統。日本で開発された最初のイチゴ品種。,
秀紅,不明,不明,,,,情報を募集しています。,
秋香,不明,不明,,,,"静岡農試育成とのこと(佐藤, 1986; https://www.pref.kanagawa.jp/documents/27386/532051.pdf)。情報を募集しています。",
章姫,久能早生,女峰,,1992,萩原和弘(静岡県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2991&LANGUAGE=Japanese
章姫×女峰,章姫,女峰,,,,,
系2,はるのか,Donner(ダナー),,,,,
系210,Donner(ダナー),系2,,,,,
系511,Florida 69_266,麗紅,,,,,
系531,女峰×ピーストロ,アイストロ,,,,,
系56,不明,不明,,,,1990年に海外優良遺伝資源導入調査事業（県単独）で導入した育種素材に由来する,
系統12_21,あまおとめ,章姫,,,,,
系統13_18,章姫,かおり野,,,,,
紀の香,かおり野,こいのか,,2018,和歌山県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=27050&LANGUAGE=Japanese
紅い雫,あまおとめ,紅ほっぺ,,2017,愛媛県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=25595&LANGUAGE=Japanese
紅ほっぺ,章姫,さちのか,,2002,静岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=10371&LANGUAGE=Japanese
紅スワン,女峰,アイベリー,,1991,田辺米一(新潟県),固定品種とのこと,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2883&LANGUAGE=Japanese
紅宝満,久留米103号,麗紅,,1986,福岡県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1223&LANGUAGE=Japanese
紅寿,秋香,麗紅,,1986,神奈川県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=944&LANGUAGE=Japanese
紅滝,不明,不明,,,,情報を募集しています。,
紅滝実生系統,紅滝,紅滝,,,,,
紅福,宝交早生,マートンダム,,1982,福井県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=204&LANGUAGE=Japanese
紅豊,とよのか,はるよい,,1991,大分県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2580&LANGUAGE=Japanese
紅鶴,宮崎×The sun,福羽,,,,,
純ベリー,山口9号,アイベリー,,1994,山口照男(東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=4056&LANGUAGE=Japanese
純ベリー2,純ベリー,女峰,,2004,山口照男(東京都),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12060&LANGUAGE=Japanese
美濃娘,63_2_3,3_31_3,,2007,岐阜県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=14898&LANGUAGE=Japanese
花笠おとめ,Serenata,アイベリー,,2006,株式会社天香園 (山形県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=14045&LANGUAGE=Japanese
芳玉,不明,不明,,,,情報を募集しています。,
華かがり,9_2_3,美濃娘,,2017,岐阜県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=26286&LANGUAGE=Japanese
讃麗,うずしお,麗紅,,1989,香川県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1979&LANGUAGE=Japanese
豊雪姫,北の輝×Chandler,カレンベリー,,2014,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=23753&LANGUAGE=Japanese
赤光,麗紅×しずたから,アイベリー,,1990,"高田宗男, 松井茂一(岐阜県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2161&LANGUAGE=Japanese
越後姫,55/6_996,とよのか,,1996,新潟県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=5196&LANGUAGE=Japanese
鈴姫,麗紅,宝交早生,,1988,鈴木一(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=718&LANGUAGE=Japanese
阿波ほうべに,さちのか,かおり野,,2021,徳島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=28273&LANGUAGE=Japanese
雷峰,円雷,女峰実生系統,,1992,市川清(栃木県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3165&LANGUAGE=Japanese
静岡13号,99_5_2,00_4_2,,,,,
静岡4号,不明,不明,,,,情報を募集しています。,
風のアリス,スイートチャーミー,峰クイーン,,2006,"上野保和, 上野友崇(岡山県)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=14539&LANGUAGE=Japanese
鬼怒甘,不明,不明,,1992,,女峰の突然変異株,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=3223&LANGUAGE=Japanese
鳳香,不明,不明,,,,情報を募集しています。,
鹿児島6号(ぴかいちご),かおり野,紅ほっぺ,,2024,鹿児島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=30255&LANGUAGE=Japanese
麗紅,HS_1,FS_3,,,,農産種苗法による名称登録342号,
麗紅×しずたから,麗紅,しずたから,,,,,
麗紅×夏芳,麗紅,夏芳,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=11245&LANGUAGE=Japanese
麗紅実生系統,麗紅,麗紅,,,,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1557&LANGUAGE=Japanese
